2025-10-26 11:47:46 | INFO | scrape_logger | Started Job...
2025-10-26 11:47:46 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:47:49 | INFO | scrape_logger | Page loaded successfully
2025-10-26 11:48:19 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:48:19 | INFO | scrape_logger | Started Job...
2025-10-26 11:48:19 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:48:52 | ERROR | scrape_logger | Error navigating to the page: Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("div.movie-card-container") to be visible

2025-10-26 11:49:35 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:49:35 | INFO | scrape_logger | Started Job...
2025-10-26 11:49:35 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:49:39 | ERROR | scrape_logger | HTTP Error 404 for URL: https://lk.bookmyshow.com/sri-lanka/movies1
2025-10-26 11:49:54 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:49:54 | INFO | scrape_logger | Started Job...
2025-10-26 11:49:54 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:49:58 | INFO | scrape_logger | Page loaded and selector found successfully.
2025-10-26 11:50:08 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:50:08 | INFO | scrape_logger | Started Job...
2025-10-26 11:50:08 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:50:11 | INFO | scrape_logger | Page loaded and selector found successfully.
2025-10-26 11:50:11 | INFO | scrape_logger | Attempting to connect to MongoDB...
2025-10-26 11:50:13 | INFO | scrape_logger | Successfully connected to MongoDB.
2025-10-26 11:50:13 | INFO | scrape_logger | Found 0 movies.
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Neera...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Moda Tharidu...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Dude...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Bison Kaalamaadan...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Diesel...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Mother Lanka...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Ayu...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Kantara: A Legend Chapter-1...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - The Conjuring: Last Rites...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - The Royal Opera: Tosca...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Thamma...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Demon Slayer - Kimetsu no Yaiba - The Movie: Infinity Castle...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Jurassic World: Rebirth...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Regretting You...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Chainsaw Man - The Movie: Reze Arc...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Idli Kadai...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - No Other Land...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - One Battle After Another...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Truth & Treason...
2025-10-26 11:50:13 | INFO | scrape_logger | Adding New Movie - Tron: Ares...
